,Models,Accuracy,Recall,Precision,F1 score
0,Naive Bayes,0.711,0.7101303911735206,0.7101303911735206,0.7101303911735206
1,Logistic Regression,0.8645,0.8585757271815446,0.8681541582150102,0.8633383761976802
2,Random Forest Classifier,0.8365,0.8264794383149449,0.8425357873210634,0.8344303797468354
3,LSVM classifier,0.8745,0.8716148445336008,0.876008064516129,0.873805932629462
4,SGD Classifier,0.873,0.8846539618856569,0.8638589618021547,0.8741328047571854
